id,process_id,humidity,temperature,ec,ph,nitrogen,phosphorus,potassium,timestamp
1,yWlW82,4.9,33.5,161.0,6.3,0.0,0.34,0.27,2024-04-22 04:29:51
2,yWlW82,5.1,33.5,162.0,6.3,0.0,0.35,0.27,2024-04-22 04:30:34
3,yWlW82,5.5,33.5,170.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:00
4,yWlW82,5.6,33.4,170.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:10
5,yWlW82,5.1,33.4,170.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:20
6,yWlW82,5.5,33.4,171.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:31
7,yWlW82,5.5,33.4,171.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:41
8,yWlW82,5.1,33.5,171.0,6.2,0.0,0.39,0.31,2024-04-22 04:37:51
9,yWlW82,5.4,33.5,171.0,6.3,0.0,0.39,0.31,2024-04-22 04:38:01
10,yWlW82,5.4,33.5,171.0,6.2,0.0,0.39,0.31,2024-04-22 04:38:12
11,yWlW82,5.5,33.5,172.0,6.3,0.0,0.4,0.32,2024-04-22 04:38:22
12,yWlW82,5.3,33.5,172.0,6.2,0.0,0.4,0.32,2024-04-22 04:38:32
13,yWlW82,6.9,33.5,172.0,6.2,0.0,0.4,0.32,2024-04-22 04:38:42
14,yWlW82,5.1,33.5,173.0,6.2,0.0,0.4,0.32,2024-04-22 04:38:53
15,yWlW82,6.3,33.5,173.0,6.2,0.0,0.4,0.32,2024-04-22 04:39:03
16,yWlW82,6.8,33.5,188.0,5.8,0.0,0.47,0.4,2024-04-22 04:40:25
17,yWlW82,4.7,33.5,171.0,6.0,0.0,0.39,0.31,2024-04-22 04:40:35
18,qknd4o,4.9,33.5,172.0,5.9,0.0,0.4,0.32,2024-04-22 04:46:25
19,qknd4o,6.7,33.5,173.0,5.8,0.0,0.4,0.32,2024-04-22 04:46:35
20,qknd4o,4.6,33.5,173.0,5.8,0.0,0.4,0.32,2024-04-22 04:46:46
21,qknd4o,7.0,33.5,173.0,5.8,0.0,0.4,0.32,2024-04-22 04:46:56
22,qknd4o,4.7,33.5,173.0,5.8,0.0,0.4,0.32,2024-04-22 04:47:06
23,qknd4o,6.3,33.4,173.0,5.8,0.0,0.4,0.32,2024-04-22 04:47:16
24,qknd4o,4.7,33.5,174.0,5.8,0.0,0.41,0.33,2024-04-22 04:47:26
25,qknd4o,7.0,33.4,174.0,5.9,0.0,0.41,0.33,2024-04-22 04:47:36
26,qknd4o,5.4,33.4,174.0,5.9,0.0,0.41,0.33,2024-04-22 04:47:46
27,qknd4o,5.1,33.4,174.0,6.0,0.0,0.41,0.33,2024-04-22 04:47:56
28,Veu5qG,7.1,32.4,208.0,5.8,0.04,0.57,0.49,2024-04-22 05:00:19
29,Veu5qG,7.1,33.5,208.0,5.8,0.04,0.57,0.49,2024-04-22 06:00:43
30,Veu5qG,9.9,35.0,207.0,6.1,0.04,0.57,0.49,2024-04-22 07:01:07
31,Veu5qG,7.1,37.2,207.0,5.3,0.04,0.57,0.49,2024-04-22 08:01:31
32,Veu5qG,7.8,39.5,210.0,5.3,0.05,0.58,0.5,2024-04-22 09:01:55
33,Veu5qG,8.0,41.7,212.0,5.7,0.05,0.59,0.51,2024-04-22 10:02:19
34,Veu5qG,7.5,43.1,212.0,5.9,0.05,0.59,0.51,2024-04-22 11:02:43
35,Veu5qG,8.5,44.0,211.0,6.1,0.05,0.59,0.51,2024-04-22 12:03:07
36,Veu5qG,7.5,44.8,207.0,6.4,0.04,0.57,0.49,2024-04-22 14:03:55
37,Veu5qG,8.3,44.9,205.0,6.4,0.04,0.56,0.48,2024-04-22 15:04:19
38,Veu5qG,8.9,45.0,202.0,6.5,0.03,0.54,0.46,2024-04-22 16:04:43
39,Veu5qG,7.2,45.2,200.0,6.6,0.03,0.53,0.46,2024-04-22 17:05:07
40,Veu5qG,7.5,46.9,197.0,7.0,0.02,0.52,0.44,2024-04-22 21:56:55
41,Veu5qG,7.4,46.9,197.0,7.2,0.02,0.52,0.44,2024-04-22 22:57:20
42,Veu5qG,8.9,46.9,196.0,7.1,0.02,0.51,0.44,2024-04-22 23:57:44
43,Veu5qG,7.8,46.9,194.0,7.2,0.02,0.5,0.43,2024-04-23 00:58:09
44,CHHhhf,7.5,44.1,170.0,7.0,0.0,0.39,0.31,2024-04-24 21:05:51
45,CHHhhf,7.4,43.4,169.0,7.2,0.0,0.38,0.3,2024-04-24 22:06:16
46,CHHhhf,6.8,40.9,162.0,7.2,0.0,0.35,0.27,2024-04-25 13:46:53
47,CHHhhf,6.4,41.1,163.0,7.1,0.0,0.35,0.28,2024-04-25 14:03:31
48,CHHhhf,6.0,41.1,162.0,7.1,0.0,0.35,0.27,2024-04-25 14:08:21
49,CHHhhf,7.1,41.5,162.0,7.1,0.0,0.35,0.27,2024-04-25 14:53:22
50,CHHhhf,6.0,41.8,162.0,7.0,0.0,0.35,0.27,2024-04-25 15:53:46
51,CHHhhf,7.5,41.9,162.0,7.0,0.0,0.35,0.27,2024-04-25 16:54:11
52,CHHhhf,6.7,41.7,162.0,7.0,0.0,0.35,0.27,2024-04-25 17:54:35
53,CHHhhf,7.0,41.4,161.0,7.0,0.0,0.34,0.27,2024-04-25 18:54:59
